                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0365,                 4.2327,                 1.4777,                0.44434,                0.19084,                0.17362,                0.12791,                 1.0066,                  2.967,                 1.4638,             0.00011041,             0.00011041,             0.00011041
                      2,                0.91022,                 3.4224,                 1.3746,                0.43277,                0.48317,                0.38695,                0.28859,                0.89173,                 2.4443,                  1.349,             0.00021703,             0.00021703,             0.00021703
                      3,                 0.9138,                 3.0122,                  1.376,                0.34071,                0.68551,                0.52438,                0.38983,                0.95837,                 2.0245,                 1.4243,             0.00031925,             0.00031925,             0.00031925
                      4,                0.91186,                 2.7503,                 1.3548,                0.52433,                0.52612,                0.62061,                0.48738,                0.87564,                 1.8039,                 1.3147,             0.00031322,             0.00031322,             0.00031322
                      5,                0.85066,                  2.451,                 1.2924,                0.55816,                0.64846,                 0.6884,                0.54723,                 0.8527,                 1.5433,                 1.2733,             0.00030663,             0.00030663,             0.00030663
                      6,                0.84064,                 2.2536,                 1.2749,                0.72348,                0.67694,                0.77049,                0.56975,                0.98041,                 1.3356,                 1.4111,             0.00030003,             0.00030003,             0.00030003
                      7,                0.80027,                 2.1015,                 1.2425,                0.65567,                0.75916,                0.79143,                0.64036,                0.85218,                 1.2743,                 1.2782,             0.00029344,             0.00029344,             0.00029344
                      8,                 0.8113,                 1.9596,                 1.2375,                0.71489,                0.78713,                0.84431,                 0.6403,                0.96107,                 1.1013,                 1.3839,             0.00028685,             0.00028685,             0.00028685
                      9,                0.78616,                 1.8488,                 1.2249,                0.74321,                0.72685,                0.83704,                0.67988,                0.83503,                 1.1832,                 1.2785,             0.00028025,             0.00028025,             0.00028025
                     10,                0.77503,                 1.7498,                 1.2189,                0.82545,                0.71493,                 0.8529,                0.65793,                0.99663,                   1.21,                 1.4246,             0.00027366,             0.00027366,             0.00027366
                     11,                0.77009,                 1.6751,                 1.2073,                0.72999,                0.83555,                0.88606,                0.72169,                0.87086,                0.95727,                 1.2701,             0.00026707,             0.00026707,             0.00026707
